一级单位,二级单位,三级单位,清单ID,排放源名称,清单属性,上级排放源序号,上级排放源名称,上级排放源编号
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1048,HK105,简单运输,上级排放源名称1,缓冲仓至HK105皮带落料点,JSSG_QD_YS1_1148
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1049,G301R,简单运输,上级排放源名称1,Y207皮带至G301R落料点,JSSG_QD_YS1_1205
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1050,G204-1,简单运输,上级排放源名称1,HC-1至G204-1皮带落料点,JSSG_QD_YS1_1123
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1051,G203,简单运输,上级排放源名称1,G101R皮带至G203皮带落料点,JSSG_QD_YS1_1156
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1052,G201,简单运输,上级排放源名称1,老Y202至G201皮带落料点,JSSG_QD_YS1_1160
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1053,G103-1,简单运输,上级排放源名称1,J203至G103-1、G204-1皮带落料点,JSSG_QD_YS1_1151
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1054,G102,简单运输,上级排放源名称1,G101R皮带至G102皮带落料点,JSSG_QD_YS1_1155
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1055,J203,简单运输,上级排放源名称1,J202至J203皮带落料点,JSSG_QD_YS1_1152
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1056,J202,简单运输,上级排放源名称1,J202机尾,JSSG_QD_YS2_1429
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1057,BY11,简单运输,上级排放源名称1,BY09至BY11皮带落料点,JSSG_QD_YS1_1171
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1058,BY10,简单运输,上级排放源名称1,BY06至BY10落料点,JSSG_QD_YS1_1033
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1059,BY09,简单运输,上级排放源名称1,BY05至BY09皮带落料点,JSSG_QD_YS1_1172
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1060,BY07B,简单运输,上级排放源名称1,BY10至BY07B皮带落料点,JSSG_QD_YS1_1170
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1061,BY07A,简单运输,上级排放源名称1,BY04至BY07A皮带落料点,JSSG_QD_YS1_1173
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1062,BY06,简单运输,上级排放源名称1,G203至BY06皮带落料点,JSSG_QD_YS1_1154
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1063,BY05,简单运输,上级排放源名称1,G102至BY05皮带落料点,JSSG_QD_YS1_1153
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1064,BY03,简单运输,上级排放源名称1,B104至BY03皮带落料点,JSSG_QD_YS1_1175
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1065,焦炭管带机,简单运输,上级排放源名称1,焦炭管带机机尾,JSSG_QD_YS2_1430
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1068,Y202头部料斗,简单运输,上级排放源名称1,Y201R至Y202皮带落料点,JSSG_QD_YS1_1007
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1069,Y205头部料斗,简单运输,上级排放源名称1,Y201至Y205皮带落料点,JSSG_QD_YS1_1209
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1070,Y204头部料斗,简单运输,上级排放源名称1,Y201至Y204皮带落料点,JSSG_QD_YS1_1210
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1071,Y203头部料斗,简单运输,上级排放源名称1,Y203机头,JSSG_QD_YS1_1348
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1072,Y201头部料斗,简单运输,上级排放源名称1,焦炭筛分至Y201皮带落料点1,JSSG_QD_YS1_1215
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1073,Y106堆高机落料点,堆料设备,上级排放源名称1,Y105至Y106皮带落料点,JSSG_QD_YS1_1212
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1074,Y105头部料斗,简单运输,上级排放源名称1,焦炭筛分至Y105皮带落料点,JSSG_QD_YS1_1213
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1075,Y104头部料斗,简单运输,上级排放源名称1,Y102至Y104皮带落料,JSSG_QD_YS1_1217
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1076,Y102头部料斗,简单运输,上级排放源名称1,Y101R至Y102皮带落料,JSSG_QD_YS1_1218
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1077,Y101头部料斗,简单运输,上级排放源名称1,303#卸船机、304#卸船机,JSSG_QD_YS1_0000
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1078,SY002头部料斗,简单运输,上级排放源名称1,Z6-3机头，至SY002（一车间),JSSG_QD_YS3_1208
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1079,烧结矿管带机尾部料斗,简单运输,上级排放源名称1,SY002至烧结矿管带机落料点,JSSG_QD_YS1_1121
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1080,烧结矿管带机头部料斗,简单运输,上级排放源名称1,烧结矿管带机尾部料斗,JSSG_QD_YS1_1079
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1081,6BC头部料斗,简单运输,上级排放源名称1,4BC至6BC皮带落料点,JSSG_QD_YS1_1140
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1082,M102头部料斗,简单运输,上级排放源名称1,5BC至M102皮带落料点,JSSG_QD_YS1_1142
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1083,5BC头部料斗,简单运输,上级排放源名称1,4BC至5BC皮带落料点,JSSG_QD_YS1_1143
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1084,4BC头部料斗,简单运输,上级排放源名称1,3BC至4BC皮带落料点,JSSG_QD_YS1_1144
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1085,3BC头部料斗,简单运输,上级排放源名称1,2BC至3BC皮带落料点,JSSG_QD_YS1_1145
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1086,2BC头部料斗,简单运输,上级排放源名称1,桥基至2BC落料点1,JSSG_QD_YS1_1012
