一级单位,二级单位,三级单位,清单ID,排放源名称,清单属性,上级排放源编号1,上级排放源名称1,上级排放源编号2,上级排放源名称2,上级排放源编号3,上级排放源名称3,上级排放源编号4,上级排放源名称4,上级排放源编号5,上级排放源名称5,上级排放源编号6,上级排放源名称6,上级排放源编号7,上级排放源名称7,上级排放源编号8,上级排放源名称8,上级排放源编号9,上级排放源名称9,上级排放源编号10,上级排放源名称10,上级排放源编号11,上级排放源名称11,上级排放源编号12,上级排放源名称12,上级排放源编号13,上级排放源名称13,上级排放源编号14,上级排放源名称14,上级排放源编号15,上级排放源名称15,上级排放源编号16,上级排放源名称16,上级排放源编号17,上级排放源名称17,上级排放源编号18,上级排放源名称18,上级排放源编号19,上级排放源名称19,上级排放源编号20,上级排放源名称20,上级排放源编号21,上级排放源名称21,上级排放源编号22,上级排放源名称22,上级排放源编号23,上级排放源名称23,上级排放源编号24,上级排放源名称24,上级排放源编号25,上级排放源名称25,上级排放源编号26,上级排放源名称26,上级排放源编号27,上级排放源名称27,上级排放源编号28,上级排放源名称28,上级排放源编号29,上级排放源名称29,上级排放源编号30,上级排放源名称30,上级排放源编号31,上级排放源名称31,上级排放源编号32,上级排放源名称32,上级排放源编号33,上级排放源名称33,上级排放源编号34,上级排放源名称34,上级排放源编号35,上级排放源名称35,上级排放源编号36,上级排放源名称36,上级排放源编号37,上级排放源名称37,上级排放源编号38,上级排放源名称38,上级排放源编号39,上级排放源名称39,上级排放源编号40,上级排放源名称40,上级排放源编号41,上级排放源名称41,上级排放源编号42,上级排放源名称42,上级排放源编号43,上级排放源名称43,上级排放源编号44,上级排放源名称44
原料烧结厂,原料烧结厂五车间,新1#烧结,JSSG_QD_YS5_1030,19号焦粉仓入口,简单运输,JSSG_QD_YS5_1034,P-10皮带机头卸料点,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原料烧结厂,原料烧结厂五车间,新1#烧结,JSSG_QD_YS5_1031,20号焦粉仓入口,简单运输,JSSG_QD_YS5_1032,P-11皮带机头卸料点,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原料烧结厂,原料烧结厂五车间,新1#烧结,JSSG_QD_YS5_1032,P-11皮带机头卸料点,简单运输,JSSG_QD_YS5_1033,P-11受料点,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原料烧结厂,原料烧结厂五车间,新1#烧结,JSSG_QD_YS5_1033,P-11受料点,简单运输,JSSG_QD_YS5_1034,P-10皮带机头卸料点,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原料烧结厂,原料烧结厂五车间,新1#烧结,JSSG_QD_YS5_1034,P-10皮带机头卸料点,简单运输,JSSG_QD_YS5_1035,P-10机尾受料点,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原料烧结厂,原料烧结厂五车间,新1#烧结,JSSG_QD_YS5_1035,P-10机尾受料点,简单运输,JSSG_QD_YS5_1036,P-9皮带机头卸料点,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原料烧结厂,原料烧结厂五车间,新1#烧结,JSSG_QD_YS5_1036,P-9皮带机头卸料点,简单运输,JSSG_QD_YS5_1242,新1#机Z4-2皮带机机头卸料点,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原料烧结厂,原料烧结厂五车间,新1#烧结,JSSG_QD_YS5_1738,@YS5_N1S_配料室1#仓,料仓,JSSG_QD_YS5_1010,P-2移动布料小车西卸料点,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原料烧结厂,原料烧结厂五车间,新1#烧结,JSSG_QD_YS5_1037,新1#烧结配料1#圆盘下料口,简单运输,JSSG_QD_YS5_1738,@YS5_N1S_配料室1#仓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原料烧结厂,原料烧结厂五车间,新1#烧结,JSSG_QD_YS5_1739,@YS5_N1S_配料室2#仓,料仓,JSSG_QD_YS5_1010,P-2移动布料小车西卸料点,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原料烧结厂,原料烧结厂五车间,新1#烧结,JSSG_QD_YS5_1038,新1#烧结配料2#圆盘下料口,简单运输,JSSG_QD_YS5_1739,@YS5_N1S_配料室2#仓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原料烧结厂,原料烧结厂五车间,新1#烧结,JSSG_QD_YS5_1740,@YS5_N1S_配料室3#仓,料仓,JSSG_QD_YS5_1010,P-2移动布料小车西卸料点,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原料烧结厂,原料烧结厂五车间,新1#烧结,JSSG_QD_YS5_1039,新1#烧结配料3#圆盘下料口,简单运输,JSSG_QD_YS5_1740,@YS5_N1S_配料室3#仓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原料烧结厂,原料烧结厂五车间,新1#烧结,JSSG_QD_YS5_1741,@YS5_N1S_配料室4#仓,料仓,JSSG_QD_YS5_1009,P-2移动布料小车东卸料点,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原料烧结厂,原料烧结厂五车间,新1#烧结,JSSG_QD_YS5_1040,新1#烧结配料4#圆盘下料口,简单运输,JSSG_QD_YS5_1741,@YS5_N1S_配料室4#仓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
